Team,Wins,Seed,PPG,AST,AST/TO Ratio,BKPG,FG%,OPP FG,OPP FGA,OPP FG%,FTA,FT%,Fouls,REB,RPG,OPP REB,OPP RPG,REB MAR,OPP PPG,SCR MAR,3FGA,3FG%,Opp 3FGA,Opp 3FG,Opp 3FG Pct,Opp TO,TO,Turnover Ratio,W/L Pct,ORebs,ORPG,DRebs,DRPG
San Diego St. (Mountain West),1,8,61.8,360,0.93,5,41.9,659,1750,37.7,653,62.9,486,1197,35.2,1087,32,3.2,53.1,8.6,556,32,567,172,30.3,451,386,1.9,76.5,413,12.15,784,23.06
Wyoming (Mountain West),0,12,61.7,487,1.28,2.9,46.2,692,1725,40.1,629,70.7,464,1025,30.1,1023,30.1,0.1,56,5.7,620,32.3,612,210,34.3,370,380,-0.3,73.5,212,6.24,813,23.91
Green Bay (Horizon),0,14,84.2,486,1.15,4.6,44.8,981,2198,44.6,984,65.9,701,1360,38.9,1412,40.3,-1.5,79.7,4.6,703,35,746,271,36.3,590,423,4.8,65.7,451,12.89,909,25.97
Indiana (Big Ten),2,5,82.3,511,1.17,4,50.1,821,1859,44.2,621,72.3,582,1196,37.4,964,30.1,7.3,68.9,13.4,762,41.5,583,200,34.3,418,437,-0.6,78.1,385,12.03,811,25.34
North Carolina (ACC),5,1,82.3,616,1.66,4.4,47.9,838,2046,41,705,73.8,609,1393,41,1112,32.7,8.3,69.5,12.8,583,31.4,728,262,36,447,371,2.2,82.4,477,14.03,916,26.94
Iowa St. (Big 12),2,4,81.8,529,1.43,4.2,50.2,903,2075,43.5,507,70.6,497,1154,36.1,1158,36.2,-0.1,75,6.9,697,38,740,249,33.6,397,370,0.8,65.6,291,9.09,863,26.97
Kansas (Big 12),3,1,81.6,542,1.27,4.1,49.4,784,1970,39.8,762,70.6,641,1283,37.7,1117,32.9,4.9,67.7,13.8,664,42.6,646,210,32.5,458,428,0.9,88.2,361,10.62,922,27.12
Duke (ACC),2,4,81.5,445,1.37,4.2,45.9,911,2046,44.5,792,72.2,549,1199,36.3,1204,36.5,-0.2,72.1,9.4,791,38.7,593,201,33.9,402,326,2.3,69.7,404,12.24,795,24.09
Xavier (Big East),1,2,81.3,524,1.28,3.1,45.2,787,1894,41.6,832,73.1,646,1312,41,1072,33.5,7.5,71,10.3,672,36.2,766,241,31.5,452,408,1.4,84.4,418,13.06,894,27.94
Arizona (Pac-12),0,6,81.2,479,1.13,4.8,48.2,829,2007,41.3,848,72.3,601,1328,40.2,1024,31,9.2,69,12.2,562,38.3,626,201,32.1,383,423,-1.2,75.8,384,11.64,944,28.61
Southern California (Pac-12),0,8,80.8,491,1.22,5.5,45.8,899,2153,41.8,737,67.8,576,1302,39.5,1249,37.8,1.6,74.8,6.1,675,38.5,740,239,32.3,411,403,0.2,63.6,396,12,906,27.45
SFA (Southland),1,14,80.7,605,1.52,3.6,48.4,719,1642,43.8,653,73,660,1130,35.3,1020,31.9,3.4,63.2,17.6,691,36.8,511,165,32.3,596,398,6.2,84.4,380,11.88,750,23.44
Butler (Big East),1,9,80.6,445,1.4,3.4,46.6,764,1773,43.1,741,73.1,617,1129,36.4,1022,33,3.5,71.2,9.4,569,38.7,655,222,33.9,407,317,2.9,67.7,354,11.42,775,25
