Team,Wins,Seed,PPG,AST,AST/TO Ratio,BKPG,FG%,OPP FG,OPP FGA,OPP FG%,FTA,FT%,Fouls,REB,RPG,OPP REB,OPP RPG,REB MAR,OPP PPG,SCR MAR,3FGA,3FG%,Opp 3FGA,Opp 3FG,Opp 3FG Pct,Opp TO,TO,Turnover Ratio,W/L Pct,ORebs,ORPG,DRebs,DRPG
North Carolina (ACC),6,1,84.9,619,1.53,3.2,47.1,838,2013,41.6,753,70.5,606,1479,43.5,1046,30.8,12.7,70.6,14.3,672,36.6,799,274,34.3,464,405,1.7,79.4,537,15.79,942,27.71
Gonzaga (WCC),5,1,84.6,529,1.42,4.5,51.8,741,2014,36.8,740,73.8,543,1330,40.3,1073,32.5,7.8,61.2,23.4,631,38.2,640,192,30,413,373,1.2,97,309,9.36,1021,30.94
Kansas (Big 12),3,1,82.7,521,1.24,4.7,48.7,825,1968,41.9,715,66.6,580,1243,38.8,1114,34.8,4,72.4,10.3,689,40.5,658,235,35.7,430,419,0.3,87.5,385,12.03,858,26.81
Marquette (Big East),0,10,82.5,513,1.36,3.6,48.7,823,1803,45.6,571,77.9,601,1031,33.3,1039,33.5,-0.3,75,7.5,755,43,615,227,36.9,409,378,1,61.3,274,8.84,757,24.42
Florida St. (ACC),1,3,82.5,485,1.24,5.1,48.3,798,1936,41.2,766,69.2,641,1245,37.7,1128,34.2,3.5,71.3,11.2,637,35.6,698,240,34.4,474,390,2.5,75.8,389,11.79,856,25.94
Creighton (Big East),0,6,82.1,587,1.38,2.9,50.8,907,2077,43.7,573,68.2,563,1186,34.9,1219,35.9,-1,72.5,9.6,744,39.9,765,255,33.3,481,424,1.7,73.5,278,8.18,908,26.71
Wichita St. (MVC),1,10,82.1,563,1.49,3.7,47.3,713,1887,37.8,812,73.4,643,1389,40.9,1087,32,8.9,62.4,19.6,725,40.8,735,227,30.9,475,379,2.8,88.2,407,11.97,982,28.88
West Virginia (Big 12),2,4,82,569,1.36,4.7,45.8,759,1791,42.4,823,67.8,699,1268,37.3,1179,34.7,2.6,66.3,15.6,711,36.1,650,227,34.9,695,417,8.2,76.5,487,14.32,781,22.97
Iowa St. (Big 12),1,5,80.9,522,1.56,3.6,46.9,876,2049,42.8,572,69.6,527,1153,34.9,1272,38.5,-3.6,72,8.9,818,40.2,729,254,34.8,474,335,4.2,69.7,308,9.33,845,25.61
Duke (ACC),1,2,80.7,458,1.16,4.5,47.7,908,2097,43.3,790,75.8,632,1271,36.3,1171,33.5,2.9,69.8,10.8,766,37.6,594,175,29.5,419,395,0.7,77.1,366,10.46,905,25.86
North Dakota (Big Sky),0,15,80.5,469,1.14,2.9,48.3,788,1796,43.9,682,71.8,647,1114,35.9,1084,35,1,72.8,7.7,563,38.7,601,211,35.1,473,413,1.9,71,288,9.29,826,26.65
Iona (MAAC),0,14,80.5,531,1.29,3,45.5,916,2120,43.2,652,77,652,1223,36,1300,38.2,-2.3,76.4,4.1,836,39.7,753,271,36,449,411,1.1,64.7,325,9.56,898,26.41
Purdue (Big Ten),2,4,80.1,580,1.38,2.5,48,811,1962,41.3,639,76.4,504,1214,37.9,996,31.1,6.8,67.2,13,709,40.6,651,210,32.3,385,419,-1.1,78.1,315,9.84,899,28.09
Nevada (Mountain West),0,12,80,546,1.44,4.4,45,890,2095,42.5,843,70.3,567,1323,38.9,1191,35,3.9,70.9,9,811,38.5,742,228,30.7,384,379,0.1,82.4,376,11.06,947,27.85
Arkansas (SEC),1,8,79.8,479,1.2,4.7,46.1,851,2027,42,794,76.2,700,1233,36.3,1229,36.1,0.1,74,5.8,610,36.4,758,252,33.2,445,399,1.4,73.5,385,11.32,848,24.94
Winthrop (Big South),0,13,79.7,411,0.98,5.3,45.7,787,1941,40.5,715,72,583,1197,37.4,1165,36.4,1,70.2,9.5,814,37.3,681,211,31,450,421,0.9,81.3,313,9.78,884,27.63
FGCU (ASUN),0,14,79.4,509,1.24,3.5,50.2,800,1900,42.1,644,70.2,613,1243,37.7,1039,31.5,6.2,68.8,10.6,608,35,744,230,30.9,426,410,0.5,78.8,372,11.27,871,26.39
Virginia Tech (ACC),0,9,79.3,483,1.24,2.8,49,876,1969,44.5,715,73.4,525,1041,32.5,1109,34.7,-2.1,74.4,4.8,703,40.3,697,251,36,375,388,-0.4,68.8,234,7.31,807,25.22
Oregon (Pac-12),4,3,79.1,558,1.42,6.6,48.1,803,2002,40.1,688,71.1,545,1237,36.4,1105,32.5,3.9,65,14.1,773,37.8,748,233,31.1,467,394,2.1,85.3,355,10.44,882,25.94
Southern California (Pac-12),1,11,78.7,505,1.37,5.4,45.4,893,2074,43.1,736,73.9,525,1191,36.1,1179,35.7,0.4,73.2,5.5,713,36.3,757,276,36.5,423,368,1.7,72.7,356,10.79,835,25.3
Troy (Sun Belt),0,15,78.4,474,1.07,3.5,45.7,904,2119,42.7,834,72.2,635,1330,36.9,1235,34.3,2.6,71.7,6.8,845,36.2,840,282,33.6,455,445,0.3,61.1,396,11,934,25.94
Florida (SEC),3,4,78.3,404,1.07,4.8,45,754,1848,40.8,764,72.6,595,1195,37.3,1132,35.4,2,66.6,11.7,685,36.2,583,179,30.7,480,378,3.2,75,370,11.56,825,25.78
Notre Dame (ACC),1,5,78,544,1.69,3.8,46.1,865,2005,43.1,573,79.9,505,1148,33.8,1211,35.6,-1.9,69.2,8.8,830,38.6,691,233,33.7,435,321,3.4,73.5,317,9.32,831,24.44
Villanova (Big East),1,1,77.7,486,1.28,3.1,49.7,799,1912,41.8,649,79.4,483,1134,33.4,1012,29.8,3.6,62.8,14.9,810,37,768,240,31.3,452,381,2.1,91.2,291,8.56,843,24.79
South Dakota St. (Summit League),0,16,77.6,451,1.03,2.3,45.9,938,2077,45.2,771,77.6,567,1190,35,1145,33.7,1.3,77.4,0.2,863,36.3,960,361,37.6,389,440,-1.5,52.9,307,9.03,883,25.97
Louisville (ACC),1,2,77.5,435,1.22,5.5,45.5,709,1790,39.6,682,68.5,623,1270,39.7,1086,33.9,5.8,65.8,11.7,636,35.8,637,197,30.9,439,357,2.6,75,426,13.31,844,26.38
Kent St. (MAC),0,14,76.9,439,0.96,3.9,42.8,894,2080,43,743,71.9,668,1416,40.5,1206,34.5,6,72.3,4.6,781,31.8,747,258,34.5,496,457,1.1,62.9,524,14.97,892,25.49
Dayton (Atlantic 10),0,7,76.5,489,1.32,4,47,712,1724,41.3,748,68.9,578,1068,34.5,1062,34.3,0.2,66.5,9.9,649,38.7,679,221,32.5,463,370,3,77.4,267,8.61,801,25.84
Butler (Big East),2,4,76.3,409,1.3,2.8,47.8,737,1661,44.4,630,74,587,993,32,974,31.4,0.6,68.4,7.9,652,36.3,625,209,33.4,420,315,3.4,74.2,272,8.77,721,23.26
Arizona (Pac-12),2,2,76.3,469,1.21,3.2,47.6,808,1945,41.5,768,75.8,577,1250,36.8,1018,29.9,6.8,65.4,10.8,576,39.8,712,218,30.6,405,389,0.5,88.2,350,10.29,900,26.47
Northern Ky. (Horizon),0,15,76.1,475,1.03,2.8,45.9,891,2026,44,729,67.6,601,1279,37.6,1119,32.9,4.7,71.4,4.7,827,35.3,682,224,32.8,415,460,-1.3,70.6,378,11.12,901,26.5
Bucknell (Patriot),0,13,76.1,497,1.1,3.8,48.1,830,1950,42.6,707,67.9,630,1171,34.4,1133,33.3,1.1,67.4,8.7,734,37.7,620,211,34,473,451,0.6,76.5,293,8.62,878,25.82
Minnesota (Big Ten),0,5,75.3,492,1.28,6.8,43.5,829,2084,39.8,785,70.7,557,1317,39.9,1275,38.6,1.3,69.1,6.2,590,34.4,699,213,30.5,421,385,1.1,72.7,374,11.33,943,28.58
Middle Tenn. (CUSA),1,12,75,519,1.47,2.9,49,743,1782,41.7,590,69.8,616,1208,35.5,1035,30.4,5.1,63.3,11.7,590,36.8,641,205,32,458,354,3.1,88.2,337,9.91,871,25.62
Michigan (Big Ten),2,7,74.8,483,1.46,2.8,48.3,869,1879,46.2,581,77.5,529,1029,29.4,1097,31.3,-1.9,65.5,9.3,860,38.1,540,204,37.8,453,330,3.5,68.6,263,7.51,766,21.89
VCU (Atlantic 10),0,10,74.7,519,1.22,3.9,46.1,775,1852,41.8,721,70.7,698,1246,36.6,1148,33.8,2.9,66.4,8.3,589,33.4,580,196,33.8,499,426,2.1,76.5,375,11.03,871,25.62
Xavier (Big East),3,11,74.6,505,1.16,2.7,45.4,862,1907,45.2,794,68.8,638,1278,37.6,1053,31,6.6,71.4,3.3,703,34,748,253,33.8,416,435,-0.6,61.8,415,12.21,863,25.38
SMU (AAC),0,6,74.5,556,1.51,3.4,47.4,721,1878,38.4,686,69.5,490,1304,38.4,997,29.3,9,59.8,14.7,682,40.6,850,274,32.2,398,369,0.9,88.2,406,11.94,898,26.41
Cincinnati (AAC),1,6,74.5,538,1.58,5.1,45.4,715,1859,38.5,656,68.3,543,1264,37.2,1111,32.7,4.5,60.8,13.6,734,34.3,684,233,34.1,466,340,3.7,85.3,421,12.38,843,24.79
Texas Southern (SWAC),0,16,74.4,402,1.02,3.1,43.1,902,2038,44.3,876,73.4,590,1199,35.3,1265,37.2,-1.9,71.7,2.6,668,29.6,580,188,32.4,458,394,1.9,67.6,395,11.62,804,23.65
Maryland (Big Ten),0,6,74.2,459,1.11,4.7,45.1,772,1867,41.3,713,69.8,595,1148,35.9,1126,35.2,0.7,67.8,6.3,730,36.3,605,203,33.6,402,415,-0.4,75,344,10.75,804,25.13
Vermont (America East),0,13,73.6,455,1.19,4.4,49.6,781,1858,42,641,70.2,539,1164,34.2,1028,30.2,4,61.6,12,594,36.9,576,190,33,443,383,1.8,85.3,318,9.35,846,24.88
Rhode Island (Atlantic 10),1,11,73.4,443,1.2,6.1,45.2,711,1759,40.4,752,65.7,689,1235,37.4,1140,34.5,2.9,64.9,8.5,609,34,524,152,29,434,370,1.9,72.7,392,11.88,843,25.55
Seton Hall (Big East),0,9,73.3,394,0.91,2.5,45,783,1813,43.2,712,64.3,595,1266,39.6,1053,32.9,6.7,70.2,3.1,580,33.8,621,211,34,392,434,-1.3,65.6,418,13.06,848,26.5
Baylor (Big 12),2,3,72.7,502,1.17,4.8,47.1,713,1791,39.8,607,71.7,566,1217,38,931,29.1,8.9,62.7,10,601,35.9,623,197,31.6,357,429,-2.3,78.1,412,12.88,805,25.16
Princeton (Ivy League),0,12,72.1,416,1.44,3.1,45.2,631,1516,41.6,410,73.4,468,969,33.4,968,33.4,0,61.5,10.6,758,38.3,576,191,33.2,388,289,3.4,79.3,240,8.28,729,25.14
South Carolina (SEC),4,7,72.1,403,0.94,3.9,41.4,671,1686,39.8,748,69,665,1161,36.3,1134,35.4,0.8,64.5,7.6,639,33.8,574,168,29.3,552,428,3.9,68.8,401,12.53,760,23.75
Saint Mary's (CA) (WCC),1,7,72,536,1.59,3.2,49.6,686,1676,40.9,452,74.8,472,1140,35.6,841,26.3,9.3,56.5,15.5,706,39.9,472,143,30.3,300,337,-1.2,87.5,308,9.63,832,26
Wisconsin (Big Ten),2,8,71.9,460,1.23,3.6,45.2,750,1831,41,632,64.4,535,1269,37.3,1055,31,6.3,61.4,10.5,723,35.5,612,231,37.7,442,373,2,73.5,420,12.35,849,24.97
Michigan St. (Big Ten),1,9,71.7,560,1.2,4.8,46.8,777,1913,40.6,614,66.4,670,1211,36.7,1093,33.1,3.6,68.4,3.4,689,37.6,626,217,34.7,363,468,-3.2,57.6,313,9.48,898,27.21
Kansas St. (Big 12),0,11,71.7,494,1.15,3.8,45.8,775,1825,42.5,724,68.9,585,1081,32.8,1118,33.9,-1.1,66.9,4.8,649,36.1,616,236,38.3,501,431,2.1,60.6,314,9.52,767,23.24
Vanderbilt (SEC),0,9,71.3,441,1.05,3.8,43.1,836,1976,42.3,642,77.6,565,1178,34.6,1171,34.4,0.2,68.1,3.1,895,37.7,656,220,33.5,367,420,-1.6,55.9,279,8.21,899,26.44
Tennessee St. (OVC),0,13,71.1,339,0.75,3.4,44.3,637,1567,40.7,688,69.2,633,1118,37.3,978,32.6,4.7,67.7,3.4,501,33.9,712,248,34.8,471,452,0.6,56.7,366,12.2,752,25.07
Northwestern (Big Ten),1,8,71.1,519,1.45,5,43.6,770,1911,40.3,607,75.1,647,1231,36.2,1202,35.4,0.9,65.1,6,707,34.1,657,220,33.5,405,358,1.4,67.6,366,10.76,865,25.44
UC Davis (Big West),0,16,70.5,440,0.91,3.4,43.7,829,1955,42.4,788,66.5,658,1212,35.6,1166,34.3,1.4,68.9,1.6,599,35.4,717,237,33.1,480,481,0,64.7,349,10.26,863,25.38
Jacksonville St. (OVC),0,15,69.7,479,1.03,3.7,45.7,785,1891,41.5,639,71.2,615,1221,35.9,1080,31.8,4.1,67.6,2.1,666,37.2,701,263,37.5,375,463,-2.6,58.8,351,10.32,870,25.59
Miami (FL) (ACC),0,8,69.4,381,0.94,3.9,45.3,731,1764,41.4,600,71.8,498,1153,36,1007,31.5,4.6,63.7,5.7,571,35.9,611,202,33.1,380,407,-0.8,65.6,354,11.06,799,24.97
Mount St. Mary's (NEC),0,16,68.3,379,0.85,4,44.4,863,1925,44.8,615,67.5,612,1029,30.3,1280,37.6,-7.4,68.6,-0.3,690,35.7,532,183,34.4,507,447,1.8,55.9,260,7.65,769,22.62
Virginia (ACC),1,5,66.6,456,1.5,4.1,46.4,610,1543,39.5,442,70.8,520,1054,32.9,945,29.5,3.4,55.6,11,570,39.3,612,191,31.2,411,305,3.3,68.8,282,8.81,772,24.13
Villanova (Big East),6,1,87.1,567,1.61,4,50.4,889,2047,43.4,599,77.1,539,1210,35.6,1112,32.7,2.9,70.9,16.2,975,39.8,726,238,32.8,446,352,2.8,88.2,319,9.38,891,26.21
Oklahoma (Big 12),0,10,85.2,467,1.13,4.7,46.4,934,2101,44.5,660,74.8,534,1186,38.3,1199,38.7,-0.4,81.6,3.5,816,36.3,782,282,36.1,409,415,-0.2,58.1,322,10.39,864,27.87
South Dakota St. (Summit League),0,12,84.9,459,1.35,2.3,47,928,2163,42.9,745,76,547,1325,39,1198,35.2,3.7,74.1,10.8,896,40.3,835,279,33.4,362,340,0.6,82.4,302,8.88,1023,30.09
Buffalo (MAC),1,13,84.8,576,1.35,4.2,47.4,871,2051,42.5,666,69.7,719,1326,39,1240,36.5,2.5,75.9,8.9,887,37.1,695,230,33.1,474,426,1.4,76.5,408,12,918,27
Duke (ACC),3,2,84.7,578,1.39,5.4,49.3,851,2121,40.1,713,70.8,516,1382,41.9,1080,32.7,9.2,69.6,15.1,725,37.8,779,250,32.1,397,416,-0.6,78.8,447,13.55,935,28.33
Gonzaga (WCC),2,4,84.5,535,1.39,3.7,50.3,805,1987,40.5,645,72.2,580,1357,39.9,1051,30.9,9,67.1,17.4,826,37.4,709,252,35.5,417,384,1,88.2,376,11.06,981,28.85
Creighton (Big East),0,8,84.3,576,1.61,2.7,49.7,884,2043,43.3,526,74.7,481,1161,36.3,1126,35.2,1.1,74.2,10.1,889,37.6,766,252,32.9,376,358,0.6,65.6,232,7.25,929,29.03
Xavier (Big East),1,1,84.3,549,1.34,2.9,49.1,894,2072,43.1,781,79,559,1267,38.4,1030,31.2,7.2,74.5,9.8,699,36.9,854,285,33.4,377,410,-1,84.8,323,9.79,944,28.61
Marshall (CUSA),1,13,84.3,586,1.31,5.9,46.9,999,2268,44,704,76.7,586,1232,36.2,1383,40.7,-4.4,78.8,5.4,963,35.4,693,245,35.4,484,449,1,70.6,276,8.12,956,28.12
Auburn (SEC),1,4,83.4,462,1.18,5.4,43.9,786,1849,42.5,789,78.6,636,1221,38.2,1114,34.8,3.3,73.3,10.1,852,36.6,729,258,35.4,488,392,3,78.1,388,12.13,833,26.03
Nevada (Mountain West),2,7,83.1,559,1.65,4.1,46.8,887,2063,43,762,74.7,587,1225,36,1229,36.1,-0.1,72.9,10.2,830,39.8,814,254,31.2,442,338,3.1,79.4,322,9.47,903,26.56
TCU (Big 12),0,6,83,601,1.48,3.6,49.9,873,1901,45.9,657,70.8,541,1166,36.4,964,30.1,6.3,75.9,7.1,677,40,683,259,37.9,403,406,-0.1,65.6,360,11.25,806,25.19
Lipscomb (ASUN),0,15,82.6,503,1.05,3.1,45.6,867,1942,44.6,811,71.5,639,1247,39,1125,35.2,3.8,77.5,5.1,785,33.1,709,240,33.9,493,480,0.4,71.9,340,10.63,907,28.34
North Carolina (ACC),1,2,82,638,1.52,4.3,46,918,2173,42.2,652,74.1,550,1487,42.5,1137,32.5,10,73.1,8.9,796,36.4,888,340,38.3,406,421,-0.4,71.4,492,14.06,995,28.43
Florida St. (ACC),3,9,81.7,473,1.17,5.2,47.4,809,1923,42.1,691,68.5,567,1179,38,1083,34.9,3.1,74.5,7.2,706,35.1,723,263,36.4,437,403,1.1,64.5,363,11.71,816,26.32
Kansas (Big 12),4,9,81.5,578,1.46,4.2,49.8,886,2099,42.2,540,70,520,1197,35.2,1195,35.1,0.1,70.9,10.6,857,40.3,805,263,32.7,442,397,1.3,79.4,325,9.56,872,25.65
NC State (ACC),0,9,81.2,517,1.33,3.8,47,880,1894,46.5,676,70,581,1142,35.7,1123,35.1,0.6,74.5,6.8,677,37.2,608,192,31.6,480,390,2.8,65.6,390,12.19,752,23.5
Purdue (Big Ten),2,2,81.1,568,1.56,5,49.7,834,2033,41,696,74.3,528,1191,35,1104,32.5,2.6,65.6,15.5,776,42,700,236,33.7,411,363,1.4,82.4,287,8.44,904,26.59
SFA (Southland),0,14,81.1,489,0.92,3,48.8,743,1742,42.7,791,70.5,743,1217,35.8,1083,31.9,3.9,68.1,13,637,37.2,673,242,36,679,529,4.4,82.4,397,11.68,820,24.12
Bucknell (Patriot),0,14,81.1,492,1.15,4.4,47.2,880,2080,42.3,844,71.8,632,1253,36.9,1200,35.3,1.6,72.9,8.3,784,34.3,660,219,33.2,428,429,0,73.5,318,9.35,935,27.5
Arkansas (SEC),0,7,81.1,492,1.32,4.6,47.7,843,1969,42.8,770,67.8,687,1182,34.8,1218,35.8,-1.1,75.5,5.6,661,40.1,818,290,35.5,476,374,3,67.6,346,10.18,836,24.59
Michigan St. (Big Ten),1,3,81,638,1.47,7.4,50.4,736,2011,36.6,678,75.1,596,1348,40.8,1005,30.5,10.4,64.8,16.2,671,41.3,720,240,33.3,329,435,-3.2,87.9,365,11.06,983,29.79
Arizona (Pac-12),0,4,80.9,518,1.24,4.6,50.5,856,1985,43.1,730,76,595,1246,36.6,986,29,7.6,71.2,9.7,624,37.7,699,246,35.2,396,418,-0.6,79.4,341,10.03,905,26.62
Iona (MAAC),0,15,79.8,526,1.37,3.1,46.2,933,2035,45.8,612,73.9,571,1116,33.8,1242,37.6,-3.8,76.2,3.6,822,38.8,715,254,35.5,452,385,2,60.6,281,8.52,835,25.3
Virginia Tech (ACC),0,8,79.7,528,1.38,2.3,49.8,814,1915,42.5,661,71,502,1056,33,1104,34.5,-1.5,71.8,8,727,38.5,824,284,34.5,416,382,1.1,65.6,236,7.38,820,25.63
West Virginia (Big 12),2,5,79.6,512,1.33,5.3,43.4,765,1801,42.5,679,76.6,727,1288,37.9,1172,34.5,3.4,69,10.6,847,35.3,685,256,37.4,561,385,5.2,70.6,476,14,812,23.88
Butler (Big East),1,10,79.1,462,1.25,2.9,47.2,831,1846,45,536,77.1,602,1122,34,1079,32.7,1.3,72.8,6.3,759,35.6,693,259,37.4,467,369,3,60.6,304,9.21,818,24.79
Murray St. (OVC),0,12,78.9,459,1.25,3.2,48.5,729,1779,41,664,73,536,1150,37.1,972,31.4,5.7,65.5,13.4,696,37.9,638,195,30.6,394,368,0.8,83.9,327,10.55,823,26.55
Montana (Big Sky),0,14,78.1,421,1.03,3.4,47.1,763,1778,42.9,769,70.6,695,1225,37.1,1066,32.3,4.8,68.7,9.4,534,34.3,568,204,35.9,510,410,3,78.8,394,11.94,831,25.18
St. Bonaventure (Atlantic 10),0,11,77.9,455,1.24,3.6,45.6,759,1802,42.1,739,75.4,641,1138,35.6,1108,34.6,0.9,71,6.9,623,39.8,767,246,32.1,459,367,2.9,78.1,331,10.34,807,25.22
Texas Southern (SWAC),0,16,77.6,417,0.97,3.9,44.1,992,2187,45.4,860,71.9,603,1230,36.2,1294,38.1,-1.9,79.7,-2.1,732,36.3,726,269,37.1,397,429,-0.9,44.1,350,10.29,880,25.88
San Diego St. (Mountain West),0,11,77.5,477,1.25,3.2,46.1,773,1849,41.8,667,72.1,545,1206,37.7,1038,32.4,5.3,67.9,9.6,693,33.9,754,246,32.6,436,382,1.7,68.8,355,11.09,851,26.59
Houston (AAC),1,6,77.4,492,1.23,3.1,46.6,703,1774,39.6,628,71.7,694,1273,38.6,1044,31.6,6.9,64.9,12.5,737,38.7,669,219,32.7,438,401,1.1,78.8,391,11.85,882,26.73
Kentucky (SEC),2,5,76.7,456,1.03,4.9,47,836,2060,40.6,838,69.7,642,1312,38.6,1152,33.9,4.7,70.3,6.4,513,36.1,869,260,29.9,407,443,-1.1,70.6,411,12.09,901,26.5
Davidson (Atlantic 10),0,12,76.4,539,1.76,2,48.3,776,1775,43.7,444,79.7,481,1050,32.8,1006,31.4,1.4,67.6,8.9,874,39.1,755,266,35.2,342,306,1.1,65.6,221,6.91,829,25.91
Penn (Ivy League),0,16,76.4,492,1.29,2.8,46,789,1909,41.3,637,66.6,553,1206,37.7,1151,36,1.7,68.7,7.8,801,35,633,185,29.2,397,380,0.5,75,278,8.69,928,29
Rhode Island (Atlantic 10),1,7,76.2,489,1.42,3.5,46,753,1672,45,597,70.7,610,1101,34.4,1080,33.8,0.7,67.9,8.3,623,35,508,168,33.1,508,344,5.1,78.1,361,11.28,740,23.13
Florida (SEC),1,6,76.1,415,1.32,4.7,43.4,787,1835,42.9,640,71.9,552,1124,35.1,1194,37.3,-2.2,69.4,6.6,778,37.5,616,220,35.7,444,314,4.1,62.5,345,10.78,779,24.34
New Mexico St. (WAC),0,12,75.9,465,1.11,3.1,46,730,1860,39.2,586,64.3,591,1369,41.5,1072,32.5,9,63.8,12.1,748,33.3,701,216,30.8,455,418,1.1,84.8,419,12.7,950,28.79
Ohio St. (Big Ten),1,5,75.8,472,1.25,4,48.5,756,1823,41.5,581,72.6,558,1172,36.6,1001,31.3,5.3,66.7,9.1,612,35.3,722,250,34.6,392,378,0.4,75,311,9.72,861,26.91
Georgia St. (Sun Belt),0,15,75.3,452,1.17,4.6,46.3,747,1901,39.3,612,67.6,624,1156,34,1250,36.8,-2.8,67.3,8,812,38.8,871,298,34.2,493,386,3.1,70.6,303,8.91,853,25.09
Texas Tech (Big 12),3,3,75.2,476,1.15,4.3,46.4,718,1783,40.3,749,70.1,599,1186,35.9,1048,31.8,4.2,64.7,10.5,634,36.6,692,227,32.8,501,414,2.6,72.7,363,11,823,24.94
Col. of Charleston (CAA),0,13,75.1,377,1.19,3.6,46,803,1848,43.5,685,75.9,540,1089,33,1113,33.7,-0.7,68.8,6.3,698,36.4,670,234,34.9,391,318,2.2,78.8,280,8.48,809,24.52
Texas A&M (SEC),2,7,75,495,1.14,5.9,45.7,800,1986,40.3,622,66.7,536,1323,41.3,1133,35.4,5.9,69.8,5.2,644,32.8,747,242,32.4,358,434,-2.4,62.5,402,12.56,921,28.78
Cincinnati (AAC),1,2,74.5,543,1.39,5.5,45.3,688,1860,37,725,68.7,538,1323,38.9,1073,31.6,7.4,57.1,17.3,695,35.7,702,217,30.9,503,390,3.3,88.2,444,13.06,879,25.85
Michigan (Big Ten),5,3,74.5,518,1.62,3.2,47.1,813,1891,43,607,65.9,546,1166,33.3,1141,32.6,0.7,63.5,10.9,868,36.9,574,194,33.8,450,320,3.7,80,300,8.57,866,24.74
Tennessee (SEC),1,3,74.2,522,1.3,4.5,43.9,743,1813,41,693,75.6,646,1193,36.2,1133,34.3,1.8,66.4,7.8,675,38.4,658,210,31.9,460,403,1.7,75.8,385,11.67,808,24.48
Miami (FL) (ACC),0,6,74.1,413,1.18,4,46.4,768,1786,43,534,66.3,506,1080,34.8,1060,34.2,0.6,68,6.1,669,36.3,634,207,32.6,402,351,1.6,71,309,9.97,771,24.87
UMBC (America East),1,16,73.9,525,1.28,2.5,44.5,842,1912,44,609,64.9,562,1184,34.8,1232,36.2,-1.4,69.5,4.4,894,38.7,785,277,35.3,504,411,2.7,70.6,338,9.94,846,24.88
Providence (Big East),0,10,73.7,468,1.1,3.8,44.2,887,2002,44.3,775,70.3,601,1221,35.9,1224,36,-0.1,72.7,1,651,33.3,730,234,32.1,455,424,0.9,61.8,364,10.71,857,25.21
UNC Greensboro (SoCon),0,13,73.5,480,1.03,3.9,44.6,704,1736,40.6,539,70.1,628,1262,37.1,1032,30.4,6.8,62.4,11.1,915,35.8,705,224,31.8,518,468,1.5,79.4,405,11.91,857,25.21
Clemson (ACC),2,5,73.3,422,1.09,4.8,45.3,757,1845,41,609,75.7,512,1135,35.5,1069,33.4,2.1,65.8,7.5,726,36.6,682,242,35.5,383,387,-0.1,71.9,287,8.97,848,26.5
Missouri (SEC),0,8,73.3,435,0.96,4.3,45.3,774,1900,40.7,667,73.6,573,1185,37,1043,32.6,4.4,68.1,5.2,775,38.5,689,224,32.5,355,452,-3,62.5,327,10.22,858,26.81
Cal St. Fullerton (Big West),0,15,73.2,396,0.9,3.3,47,745,1802,41.3,729,73.4,554,1089,35.1,1030,33.2,1.9,70,3.2,482,33.8,613,211,34.4,404,438,-1.1,64.5,275,8.87,814,26.26
Loyola Chicago (MVC),4,11,72.4,520,1.29,2.5,50.7,755,1831,41.2,561,72.4,456,1067,32.3,1013,30.7,1.6,62.2,10.2,618,39.8,671,221,32.9,434,404,0.9,84.8,209,6.33,858,26
Kansas St. (Big 12),3,9,72.4,473,1.25,3,47.2,762,1775,42.9,607,74.3,607,1009,30.6,1114,33.8,-3.2,67.9,4.5,666,34.4,705,234,33.2,473,378,2.9,66.7,270,8.18,739,22.39
Alabama (SEC),1,9,72.4,426,0.89,5.5,45.8,822,1991,41.3,778,67.2,646,1234,36.3,1227,36.1,0.2,70,2.4,669,32.4,739,236,31.9,448,481,-1,55.9,341,10.03,893,26.26
Wright St. (Horizon),0,14,72.1,451,1.01,2.2,43.6,789,1905,41.4,714,71.7,541,1234,36.3,1135,33.4,2.9,65.7,6.4,682,34.2,757,263,34.7,519,446,2.1,73.5,345,10.15,889,26.15
Texas (Big 12),0,10,71.7,382,0.98,5,43.8,829,1965,42.2,645,66.8,532,1181,35.8,1186,35.9,-0.2,68.2,3.5,742,31.5,685,226,33,418,391,0.8,57.6,349,10.58,832,25.21
Virginia (ACC),0,1,67.5,453,1.6,3.7,46.1,621,1655,37.5,443,75.8,464,1078,32.7,1010,30.6,2.1,53.4,14.2,623,39,670,203,30.3,420,283,4.2,93.9,277,8.39,801,24.27
Syracuse (ACC),2,11,67.5,362,0.87,5.6,41.8,722,1824,39.6,721,74.1,538,1235,37.4,1085,32.9,4.5,64.5,3,600,32.2,798,262,32.8,424,415,0.3,60.6,399,12.09,836,25.33
Radford (Big South),0,16,67.4,415,1,2.9,42.6,769,1795,42.8,585,72.3,557,1178,34.6,1069,31.4,3.2,64.4,3,752,35,692,240,34.7,441,414,0.8,64.7,393,11.56,785,23.09
Gonzaga (WCC),3,1,88.8,601,1.76,5.5,53.2,788,2028,38.9,718,76.7,530,1275,38.6,1070,32.4,6.2,65.1,23.8,704,36.5,702,217,30.9,447,342,3.2,90.9,315,9.55,960,29.09
Belmont (OVC),0,11,87.4,616,1.71,3.8,49.9,837,1971,42.5,557,73.8,482,1205,38.9,1086,35,3.8,73.9,13.5,871,37.3,700,240,34.3,387,361,0.8,83.9,277,8.94,928,29.94
North Carolina (ACC),2,1,86.1,627,1.45,3.5,46.4,854,2067,41.3,681,74.2,566,1437,43.5,1118,33.9,9.7,72.9,13.2,791,36.5,878,289,32.9,466,431,1.1,81.8,431,13.06,1006,30.48
